Site_name,Plot_no,Site_plot_code,Date,Tree_individual_no,Tree_ID,Tree_dbh_cm,Tree_height_m,Tree_N_lianas,Liana_dbh_cm,Tree_notes,Subplot_radius_m
DanumW15,2,F1P2,22/07/2017,34,Syzygium,13.6,NA,1,10.3,,20
DanumW15,2,F1P2,22/07/2017,35,Canarium denticulatum,29,NA,1,3.8,,30
DanumW15,2,F1P2,22/07/2017,37,Litsea grandis,43,NA,1,4.8,,30
DanumW15,2,F1P2,22/07/2017,40,Shorea parvifolia,60,NA,2,5.6,,30
DanumW15,2,F1P2,22/07/2017,40,Shorea parvifolia,60,NA,2,3.2,,30
DanumW15,2,F1P2,22/07/2017,41,Shorea fallax,28,15,2,2.9,,30
DanumW15,2,F1P2,22/07/2017,41,Shorea fallax,28,15,2,3.5,,30
DanumW15,2,F1P2,22/07/2017,43,Shorea fallax,52,NA,8,4,,30
DanumW15,2,F1P2,22/07/2017,43,Shorea fallax,52,NA,8,5.8,,30
DanumW15,2,F1P2,22/07/2017,43,Shorea fallax,52,NA,8,3.4,,30
DanumW15,2,F1P2,22/07/2017,43,Shorea fallax,52,NA,8,5.3,,30
DanumW15,2,F1P2,22/07/2017,43,Shorea fallax,52,NA,8,10.8,,30
DanumW15,2,F1P2,22/07/2017,43,Shorea fallax,52,NA,8,2.3,,30
DanumW15,2,F1P2,22/07/2017,43,Shorea fallax,52,NA,8,6,,30
DanumW15,2,F1P2,22/07/2017,43,Shorea fallax,52,NA,8,3.2,,30
DanumW15,2,F1P2,22/07/2017,45,Lithocarpus,36,NA,2,3.2,,30
DanumW16,3,F1P3,23/07/2017,45,Lithocarpus,36,NA,2,7.6,,30
DanumW15,2,F1P2,23/07/2017,47,Shorea parvifolia,24,20,1,5.9,,20
DanumW15,2,F1P2,23/07/2017,49,Syzygium,55.5,NA,5,2.4,,30
DanumW15,2,F1P2,23/07/2017,49,Syzygium,55.5,NA,5,5.5,,30
DanumW15,2,F1P2,23/07/2017,49,Syzygium,55.5,NA,5,3.5,,30
DanumW15,2,F1P2,23/07/2017,49,Syzygium,55.5,NA,5,5.7,,30
DanumW15,2,F1P2,23/07/2017,49,Syzygium,55.5,NA,5,2.4,,30
DanumW15,2,F1P2,23/07/2017,57,Mallotus wrayi,10.9,NA,1,8.2,,20
DanumW15,2,F1P2,23/07/2017,58,Aporosa elmeri,13,12,2,7,,20
DanumW15,2,F1P2,23/07/2017,58,Aporosa elmeri,13,12,2,5.3,,20
DanumW15,3,F1P3,23/07/2017,65,Dehaasia,14.3,NA,1,2.5,,20
DanumW15,3,F1P3,23/07/2017,66,Shorea parvifolia,47.5,NA,6,4.2,,30
DanumW15,3,F1P3,23/07/2017,66,Shorea parvifolia,47.5,NA,6,9.8,,30
DanumW15,3,F1P3,23/07/2017,66,Shorea parvifolia,47.5,NA,6,3.4,,30
DanumW15,3,F1P3,23/07/2017,66,Shorea parvifolia,47.5,NA,6,5.1,,30
DanumW15,3,F1P3,23/07/2017,66,Shorea parvifolia,47.5,NA,6,2,,30
DanumW15,3,F1P3,23/07/2017,66,Shorea parvifolia,47.5,NA,6,3,,30
DanumW15,3,F1P3,23/07/2017,67,Shorea pauciflora,105.5,NA,12,11.2,,30
DanumW15,3,F1P3,23/07/2017,67,Shorea pauciflora,105.5,NA,12,2,,30
DanumW15,3,F1P3,23/07/2017,67,Shorea pauciflora,105.5,NA,12,2,,30
DanumW15,3,F1P3,23/07/2017,67,Shorea pauciflora,105.5,NA,12,2.8,,30
DanumW15,3,F1P3,23/07/2017,67,Shorea pauciflora,105.5,NA,12,11.7,,30
DanumW15,3,F1P3,23/07/2017,67,Shorea pauciflora,105.5,NA,12,2.8,,30
DanumW15,3,F1P3,23/07/2017,67,Shorea pauciflora,105.5,NA,12,3.2,,30
DanumW15,3,F1P3,23/07/2017,67,Shorea pauciflora,105.5,NA,12,16,,30
DanumW15,3,F1P3,23/07/2017,67,Shorea pauciflora,105.5,NA,12,4.8,,30
DanumW15,3,F1P3,23/07/2017,67,Shorea pauciflora,105.5,NA,12,2.7,,30
DanumW15,3,F1P3,23/07/2017,67,Shorea pauciflora,105.5,NA,12,3.5,,30
DanumW15,3,F1P3,23/07/2017,67,Shorea pauciflora,105.5,NA,12,2.5,,30
DanumW15,3,F1P3,23/07/2017,72,Shorea fallax,75,NA,2,12.2,,30
DanumW15,3,F1P3,23/07/2017,72,Shorea fallax,75,NA,2,6,,30
DanumW15,3,F1P3,23/07/2017,74,Dysoxylum alliaceum,15.6,NA,5,4.2,,20
DanumW15,3,F1P3,23/07/2017,74,Dysoxylum alliaceum,15.6,NA,5,3.8,,20
DanumW15,3,F1P3,23/07/2017,74,Dysoxylum alliaceum,15.6,NA,5,9,,20
DanumW15,3,F1P3,23/07/2017,74,Dysoxylum alliaceum,15.6,NA,5,6,,20
DanumW15,3,F1P3,23/07/2017,74,Dysoxylum alliaceum,15.6,NA,5,8,,20
DanumW15,3,F1P3,23/07/2017,85,Lithocarpus,60,NA,2,7,,30
DanumW15,3,F1P3,23/07/2017,85,Lithocarpus,60,NA,2,7,,30
DanumW15,3,F1P3,23/07/2017,99,Shorea,115,60,1,10,,30
DanumW15,3,F1P3,23/07/2017,102,Syzygium,44,NA,2,5.8,,30
DanumW15,3,F1P3,23/07/2017,102,Syzygium,44,NA,2,9,,30
DanumW15,3,F1P3,23/07/2017,116,Litsea,16,NA,1,10,,20
DanumW15,3,F1P3,23/07/2017,128,Shorea fallax,55,NA,5,3.5,,30
DanumW15,3,F1P3,23/07/2017,128,Shorea fallax,55,NA,5,7,,30
DanumW15,3,F1P3,23/07/2017,128,Shorea fallax,55,NA,5,5.3,,30
DanumW15,3,F1P3,23/07/2017,128,Shorea fallax,55,NA,5,12.8,,30
DanumW15,3,F1P3,23/07/2017,128,Shorea fallax,55,NA,5,9,,30
DanumW15,3,F1P3,23/07/2017,129,Pternandra,25.5,NA,1,3,,30
Sabahmas89ha,1,F2P1,29/07/2017,132,Dendrocnide,18.3,NA,1,3.7,,20
Sabahmas89ha,1,F2P1,29/07/2017,133,Dendrocnide,18.6,NA,3,4.5,,20
Sabahmas89ha,1,F2P1,29/07/2017,133,Dendrocnide,18.6,NA,3,2.3,,20
Sabahmas89ha,1,F2P1,29/07/2017,133,Dendrocnide,18.6,NA,3,3,,20
Sabahmas89ha,1,F2P1,29/07/2017,134,Sloanea javanica,14.7,5,7,2.2,Multiple stems,20
Sabahmas89ha,1,F2P1,29/07/2017,134,Sloanea javanica,14.7,5,7,4,Multiple stems,20
Sabahmas89ha,1,F2P1,29/07/2017,134,Sloanea javanica,14.7,5,7,5,Multiple stems,20
Sabahmas89ha,1,F2P1,29/07/2017,134,Sloanea javanica,14.7,5,7,4,Multiple stems,20
Sabahmas89ha,1,F2P1,29/07/2017,134,Sloanea javanica,14.7,5,7,3.2,Multiple stems,20
Sabahmas89ha,1,F2P1,29/07/2017,134,Sloanea javanica,14.7,5,7,2,Multiple stems,20
Sabahmas89ha,1,F2P1,29/07/2017,134,Sloanea javanica,14.7,5,7,2.8,Multiple stems,20
Sabahmas89ha,1,F2P1,29/07/2017,143,Pterospermum stapfianum,10.3,3,3,2.3,,20
Sabahmas89ha,1,F2P1,29/07/2017,143,Pterospermum stapfianum,10.3,3,3,2,,20
Sabahmas89ha,1,F2P1,29/07/2017,143,Pterospermum stapfianum,10.3,3,3,2.5,,20
Sabahmas89ha,1,F2P1,29/07/2017,144,Ficus,13,6,4,2,,20
Sabahmas89ha,1,F2P1,29/07/2017,144,Ficus,13,6,4,4.8,,20
Sabahmas89ha,1,F2P1,29/07/2017,144,Ficus,13,6,4,2,,20
Sabahmas89ha,1,F2P1,29/07/2017,144,Ficus,13,6,4,3,,20
Sabahmas89ha,1,F2P1,29/07/2017,145,Ficus,10.2,NA,2,2,,20
Sabahmas89ha,1,F2P1,29/07/2017,145,Ficus,10.2,NA,2,2,,20
Sabahmas89ha,1,F2P1,29/07/2017,146,Ficus,16.2,NA,1,3,,20
Sabahmas89ha,1,F2P1,29/07/2017,147,Pterospermum,10.8,NA,3,2,,20
Sabahmas89ha,1,F2P1,29/07/2017,147,Pterospermum,10.8,NA,3,3,,20
Sabahmas89ha,1,F2P1,29/07/2017,147,Pterospermum,10.8,NA,3,4,,20
Sabahmas89ha,1,F2P1,29/07/2017,148,Ficus,24,7,7,5.6,,20
Sabahmas89ha,1,F2P1,29/07/2017,148,Ficus,24,7,7,3,,20
Sabahmas89ha,1,F2P1,29/07/2017,148,Ficus,24,7,7,2,,20
Sabahmas89ha,1,F2P1,29/07/2017,148,Ficus,24,7,7,2,,20
Sabahmas89ha,1,F2P1,29/07/2017,148,Ficus,24,7,7,4,,20
Sabahmas89ha,1,F2P1,29/07/2017,148,Ficus,24,7,7,2,,20
Sabahmas89ha,1,F2P1,29/07/2017,148,Ficus,24,7,7,3,,20
Sabahmas89ha,1,F2P1,29/07/2017,149,Ficus,14.5,6,5,3,,20
Sabahmas89ha,1,F2P1,29/07/2017,149,Ficus,14.5,6,5,2.5,,20
Sabahmas89ha,1,F2P1,29/07/2017,149,Ficus,14.5,6,5,3,,20
Sabahmas89ha,1,F2P1,29/07/2017,149,Ficus,14.5,6,5,3,,20
Sabahmas89ha,1,F2P1,29/07/2017,149,Ficus,14.5,6,5,2,,20
Sabahmas89ha,1,F2P1,29/07/2017,150,Ficus,12.2,5,4,3,,20
Sabahmas89ha,1,F2P1,29/07/2017,150,Ficus,12.2,5,4,3,,20
Sabahmas89ha,1,F2P1,29/07/2017,150,Ficus,12.2,5,4,2,,20
Sabahmas89ha,1,F2P1,29/07/2017,150,Ficus,12.2,5,4,2,,20
Sabahmas89ha,1,F2P1,29/07/2017,151,Sloanea javanica,15.2,NA,5,2,,20
Sabahmas89ha,1,F2P1,29/07/2017,151,Sloanea javanica,15.2,NA,5,3,,20
Sabahmas89ha,1,F2P1,29/07/2017,151,Sloanea javanica,15.2,NA,5,2,,20
Sabahmas89ha,1,F2P1,29/07/2017,151,Sloanea javanica,15.2,NA,5,3.2,,20
Sabahmas89ha,1,F2P1,29/07/2017,151,Sloanea javanica,15.2,NA,5,3.5,,20
Sabahmas89ha,1,F2P1,29/07/2017,152,Sloanea javanica,12.7,NA,2,5.1,,20
Sabahmas89ha,1,F2P1,29/07/2017,152,Sloanea javanica,12.7,NA,2,2,,20
Sabahmas89ha,1,F2P1,29/07/2017,156,Sloanea javanica,17,NA,3,5.6,,20
Sabahmas89ha,1,F2P1,29/07/2017,156,Sloanea javanica,17,NA,3,3.5,,20
Sabahmas89ha,1,F2P1,29/07/2017,156,Sloanea javanica,17,NA,3,2,,20
Sabahmas89ha,1,F2P1,29/07/2017,157,Ficus,18,7,1,8,,20
Sabahmas89ha,1,F2P1,29/07/2017,158,Sloanea javanica,14.1,6,3,3,,20
Sabahmas89ha,1,F2P1,29/07/2017,158,Sloanea javanica,14.1,6,3,3.2,,20
Sabahmas89ha,1,F2P1,29/07/2017,158,Sloanea javanica,14.1,6,3,3.7,,20
Sabahmas89ha,1,F2P1,29/07/2017,159,Dendrocnide,15.5,NA,1,2,Multiple stems,20
Sabahmas89ha,1,F2P1,29/07/2017,160,Sloanea javanica,18,NA,7,4.7,,20
Sabahmas89ha,1,F2P1,29/07/2017,160,Sloanea javanica,18,NA,7,3.2,,20
Sabahmas89ha,1,F2P1,29/07/2017,160,Sloanea javanica,18,NA,7,2.5,,20
Sabahmas89ha,1,F2P1,29/07/2017,160,Sloanea javanica,18,NA,7,4.7,,20
Sabahmas89ha,1,F2P1,29/07/2017,160,Sloanea javanica,18,NA,7,4.3,,20
Sabahmas89ha,1,F2P1,29/07/2017,160,Sloanea javanica,18,NA,7,2.9,,20
Sabahmas89ha,1,F2P1,29/07/2017,160,Sloanea javanica,18,NA,7,2.4,,20
Sabahmas89ha,1,F2P1,29/07/2017,161,Sloanea javanica,15.2,NA,1,2.5,,20
Sabahmas89ha,1,F2P1,29/07/2017,162,Ficus,15.7,NA,1,4.6,,20
Sabahmas89ha,1,F2P1,29/07/2017,163,Sloanea javanica,14.2,NA,2,2.7,,20
Sabahmas89ha,1,F2P1,29/07/2017,163,Sloanea javanica,14.2,NA,2,4.7,,20
Sabahmas89ha,1,F2P1,29/07/2017,164,Sloanea javanica,19.2,NA,7,5,,20
Sabahmas89ha,1,F2P1,29/07/2017,164,Sloanea javanica,19.2,NA,7,2.5,,20
Sabahmas89ha,1,F2P1,29/07/2017,164,Sloanea javanica,19.2,NA,7,4.6,,20
Sabahmas89ha,1,F2P1,29/07/2017,164,Sloanea javanica,19.2,NA,7,3.2,,20
Sabahmas89ha,1,F2P1,29/07/2017,164,Sloanea javanica,19.2,NA,7,3.2,,20
Sabahmas89ha,1,F2P1,29/07/2017,164,Sloanea javanica,19.2,NA,7,3.6,,20
Sabahmas89ha,1,F2P1,29/07/2017,164,Sloanea javanica,19.2,NA,7,4.2,,20
Sabahmas89ha,1,F2P1,29/07/2017,169,Ficus,17.3,8,2,2,,20
Sabahmas89ha,1,F2P1,29/07/2017,169,Ficus,17.3,8,2,2.8,,20
Sabahmas89ha,1,F2P1,29/07/2017,170,Sloanea javanica,17,6,3,2,,20
Sabahmas89ha,1,F2P1,29/07/2017,170,Sloanea javanica,17,6,3,2,,20
Sabahmas89ha,1,F2P1,29/07/2017,170,Sloanea javanica,17,6,3,2.5,,20
Sabahmas89ha,1,F2P1,29/07/2017,171,Sloanea javanica,13.7,NA,4,4.2,,20
Sabahmas89ha,1,F2P1,29/07/2017,171,Sloanea javanica,13.7,NA,4,3.2,,20
Sabahmas89ha,1,F2P1,29/07/2017,171,Sloanea javanica,13.7,NA,4,2,,20
Sabahmas89ha,1,F2P1,29/07/2017,171,Sloanea javanica,13.7,NA,4,2,,20
Sabahmas89ha,1,F2P1,29/07/2017,172,Sloanea javanica,19.2,NA,5,3.5,,20
Sabahmas89ha,1,F2P1,29/07/2017,172,Sloanea javanica,19.2,NA,5,2.5,,20
Sabahmas89ha,1,F2P1,29/07/2017,172,Sloanea javanica,19.2,NA,5,2,,20
Sabahmas89ha,1,F2P1,29/07/2017,172,Sloanea javanica,19.2,NA,5,2,,20
Sabahmas89ha,1,F2P1,29/07/2017,172,Sloanea javanica,19.2,NA,5,2.2,,20
Sabahmas89ha,1,F2P1,29/07/2017,173,Ficus,15.5,NA,1,2,,20
Sabahmas89ha,2,F2P2,29/07/2017,176,Diospyros,20.5,NA,3,2.8,Multiple stems,20
Sabahmas89ha,2,F2P2,29/07/2017,176,Diospyros,20.5,NA,3,2,Multiple stems,20
Sabahmas89ha,2,F2P2,29/07/2017,176,Diospyros,20.5,NA,3,2.6,Multiple stems,20
Sabahmas89ha,2,F2P2,29/07/2017,179,Litsea,12.9,NA,3,2.3,,20
Sabahmas89ha,2,F2P2,29/07/2017,179,Litsea,12.9,NA,3,2,,20
Sabahmas89ha,2,F2P2,29/07/2017,179,Litsea,12.9,NA,3,2,,20
Sabahmas89ha,2,F2P2,29/07/2017,180,Ficus,43.3,NA,13,2.6,,30
Sabahmas89ha,2,F2P2,29/07/2017,180,Ficus,43.3,NA,13,4.2,,30
Sabahmas89ha,2,F2P2,29/07/2017,180,Ficus,43.3,NA,13,4,,30
Sabahmas89ha,2,F2P2,29/07/2017,180,Ficus,43.3,NA,13,2,,30
Sabahmas89ha,2,F2P2,29/07/2017,180,Ficus,43.3,NA,13,2,,30
Sabahmas89ha,2,F2P2,29/07/2017,180,Ficus,43.3,NA,13,2.2,,30
Sabahmas89ha,2,F2P2,29/07/2017,180,Ficus,43.3,NA,13,3,,30
Sabahmas89ha,2,F2P2,29/07/2017,180,Ficus,43.3,NA,13,3.2,,30
Sabahmas89ha,2,F2P2,29/07/2017,180,Ficus,43.3,NA,13,3.1,,30
Sabahmas89ha,2,F2P2,29/07/2017,180,Ficus,43.3,NA,13,2,,30
Sabahmas89ha,2,F2P2,29/07/2017,180,Ficus,43.3,NA,13,3.6,,30
Sabahmas89ha,2,F2P2,29/07/2017,180,Ficus,43.3,NA,13,4.4,,30
Sabahmas89ha,2,F2P2,29/07/2017,180,Ficus,43.3,NA,13,2.8,,30
Sabahmas89ha,2,F2P2,29/07/2017,181,Sloanea javanica,13.7,NA,4,2.2,,20
Sabahmas89ha,2,F2P2,29/07/2017,181,Sloanea javanica,13.7,NA,4,2.4,,20
Sabahmas89ha,2,F2P2,29/07/2017,181,Sloanea javanica,13.7,NA,4,3.3,,20
Sabahmas89ha,2,F2P2,29/07/2017,181,Sloanea javanica,13.7,NA,4,2.2,,20
Sabahmas89ha,2,F2P2,29/07/2017,182,Ficus,28.8,NA,6,2.4,,30
Sabahmas89ha,2,F2P2,29/07/2017,182,Ficus,28.8,NA,6,2.8,,30
Sabahmas89ha,2,F2P2,29/07/2017,182,Ficus,28.8,NA,6,3.8,,30
Sabahmas89ha,2,F2P2,29/07/2017,182,Ficus,28.8,NA,6,4,,30
Sabahmas89ha,2,F2P2,29/07/2017,182,Ficus,28.8,NA,6,2,,30
Sabahmas89ha,2,F2P2,29/07/2017,182,Ficus,28.8,NA,6,3,,30
Sabahmas89ha,2,F2P2,29/07/2017,190,Pterospermum stapfianum,20,NA,7,4.2,Multiple stems,20
Sabahmas89ha,2,F2P2,29/07/2017,190,Pterospermum stapfianum,20,NA,7,2.6,Multiple stems,20
Sabahmas89ha,2,F2P2,29/07/2017,190,Pterospermum stapfianum,20,NA,7,2,Multiple stems,20
Sabahmas89ha,2,F2P2,29/07/2017,190,Pterospermum stapfianum,20,NA,7,2.8,Multiple stems,20
Sabahmas89ha,2,F2P2,29/07/2017,190,Pterospermum stapfianum,20,NA,7,2.6,Multiple stems,20
Sabahmas89ha,2,F2P2,29/07/2017,190,Pterospermum stapfianum,20,NA,7,2.3,Multiple stems,20
Sabahmas89ha,2,F2P2,29/07/2017,190,Pterospermum stapfianum,20,NA,7,3.8,Multiple stems,20
Sabahmas89ha,2,F2P2,29/07/2017,191,Pterospermum stapfianum,12.5,NA,13,2.3,Multiple stems,20
Sabahmas89ha,2,F2P2,29/07/2017,191,Pterospermum stapfianum,12.5,NA,13,3.5,Multiple stems,20
Sabahmas89ha,2,F2P2,29/07/2017,191,Pterospermum stapfianum,12.5,NA,13,2.5,Multiple stems,20
Sabahmas89ha,2,F2P2,29/07/2017,191,Pterospermum stapfianum,12.5,NA,13,2,Multiple stems,20
Sabahmas89ha,2,F2P2,29/07/2017,191,Pterospermum stapfianum,12.5,NA,13,6,Multiple stems,20
Sabahmas89ha,2,F2P2,29/07/2017,191,Pterospermum stapfianum,12.5,NA,13,3,Multiple stems,20
Sabahmas89ha,2,F2P2,29/07/2017,191,Pterospermum stapfianum,12.5,NA,13,3,Multiple stems,20
Sabahmas89ha,2,F2P2,29/07/2017,191,Pterospermum stapfianum,12.5,NA,13,2.5,Multiple stems,20
Sabahmas89ha,2,F2P2,29/07/2017,191,Pterospermum stapfianum,12.5,NA,13,2.5,Multiple stems,20
Sabahmas89ha,2,F2P2,29/07/2017,191,Pterospermum stapfianum,12.5,NA,13,3,Multiple stems,20
Sabahmas89ha,2,F2P2,29/07/2017,191,Pterospermum stapfianum,12.5,NA,13,5.6,Multiple stems,20
Sabahmas89ha,2,F2P2,29/07/2017,191,Pterospermum stapfianum,12.5,NA,13,2,Multiple stems,20
Sabahmas89ha,2,F2P2,29/07/2017,191,Pterospermum stapfianum,12.5,NA,13,2.2,Multiple stems,20
Sabahmas89ha,2,F2P2,29/07/2017,192,Ficus,18,7,3,5.5,Multiple stems,20
Sabahmas89ha,2,F2P2,29/07/2017,192,Ficus,18,7,3,3,Multiple stems,20
Sabahmas89ha,2,F2P2,29/07/2017,192,Ficus,18,7,3,3.5,Multiple stems,20
Sabahmas89ha,2,F2P2,29/07/2017,195,Microcos,16.4,4,4,6,,20
Sabahmas89ha,2,F2P2,29/07/2017,195,Microcos,16.4,4,4,3,,20
Sabahmas89ha,2,F2P2,29/07/2017,195,Microcos,16.4,4,4,2.5,,20
Sabahmas89ha,2,F2P2,29/07/2017,195,Microcos,16.4,4,4,3,,20
Sabahmas89ha,2,F2P2,29/07/2017,196,Sloanea javanica,15.4,5,5,2.7,,20
Sabahmas89ha,2,F2P2,29/07/2017,196,Sloanea javanica,15.4,5,5,5.6,,20
Sabahmas89ha,2,F2P2,29/07/2017,196,Sloanea javanica,15.4,5,5,2,,20
Sabahmas89ha,2,F2P2,29/07/2017,196,Sloanea javanica,15.4,5,5,2,,20
Sabahmas89ha,2,F2P2,29/07/2017,196,Sloanea javanica,15.4,5,5,2.5,,20
Sabahmas89ha,2,F2P2,29/07/2017,197,Pterospermum stapfianum,23,8,1,3.5,,20
Sabahmas89ha,2,F2P2,29/07/2017,198,Ficus,26.7,8,8,3,,30
Sabahmas89ha,2,F2P2,29/07/2017,198,Ficus,26.7,8,8,2,,30
Sabahmas89ha,2,F2P2,29/07/2017,198,Ficus,26.7,8,8,2.5,,30
Sabahmas89ha,2,F2P2,29/07/2017,198,Ficus,26.7,8,8,2.2,,30
Sabahmas89ha,2,F2P2,29/07/2017,198,Ficus,26.7,8,8,2.3,,30
Sabahmas89ha,2,F2P2,29/07/2017,198,Ficus,26.7,8,8,3.5,,30
Sabahmas89ha,2,F2P2,29/07/2017,198,Ficus,26.7,8,8,2,,30
Sabahmas89ha,2,F2P2,29/07/2017,198,Ficus,26.7,8,8,4,,30
Sabahmas89ha,2,F2P2,29/07/2017,201,Dendrocnide,14.7,NA,6,3.5,,20
Sabahmas89ha,2,F2P2,29/07/2017,201,Dendrocnide,14.7,NA,6,5.5,,20
Sabahmas89ha,2,F2P2,29/07/2017,201,Dendrocnide,14.7,NA,6,2,,20
Sabahmas89ha,2,F2P2,29/07/2017,201,Dendrocnide,14.7,NA,6,4.1,,20
Sabahmas89ha,2,F2P2,29/07/2017,201,Dendrocnide,14.7,NA,6,3,,20
Sabahmas89ha,2,F2P2,29/07/2017,201,Dendrocnide,14.7,NA,6,3,,20
Sabahmas89ha,2,F2P2,29/07/2017,203,Pterospermum,18,7,3,2,,20
Sabahmas89ha,2,F2P2,29/07/2017,203,Pterospermum,18,7,3,2,,20
Sabahmas89ha,2,F2P2,29/07/2017,203,Pterospermum,18,7,3,2.2,,20
Sabahmas89ha,3,F2P3,31/07/2017,213,Polyalthia,10.5,NA,1,6,,20
Sabahmas89ha,3,F2P3,31/07/2017,221,Hydnocarpus anomala,21.8,NA,1,3.5,,20
Sabahmas89ha,3,F2P3,31/07/2017,222,Ficus+Diospyros,71,NA,3,7.5,Ficus completely surrounding Diospyros - dbh of both (see pic),30
Sabahmas89ha,3,F2P3,31/07/2017,222,Ficus+Diospyros,71,NA,3,2.4,,30
Sabahmas89ha,3,F2P3,31/07/2017,222,Ficus+Diospyros,71,NA,3,4,,30
Sabahmas89ha,3,F2P3,31/07/2017,224,Microcos,31.6,NA,1,2.7,,30
Sabahmas89ha,3,F2P3,31/07/2017,225,Pterospermum,46,33,2,2.5,,30
Sabahmas89ha,3,F2P3,31/07/2017,225,Pterospermum,46,33,2,5,,30
Sabahmas89ha,3,F2P3,31/07/2017,227,Diospyros,40.8,17,4,4,,30
Sabahmas89ha,3,F2P3,31/07/2017,227,Diospyros,40.8,17,4,11,,30
Sabahmas89ha,3,F2P3,31/07/2017,227,Diospyros,40.8,17,4,3,,30
Sabahmas89ha,3,F2P3,31/07/2017,227,Diospyros,40.8,17,4,3,,30
Sabahmas89ha,3,F2P3,31/07/2017,230,Barringtonia lanceolata,49,NA,6,8.9,,30
Sabahmas89ha,3,F2P3,31/07/2017,230,Barringtonia lanceolata,49,NA,6,8.4,,30
Sabahmas89ha,3,F2P3,31/07/2017,230,Barringtonia lanceolata,49,NA,6,10.5,,30
Sabahmas89ha,3,F2P3,31/07/2017,230,Barringtonia lanceolata,49,NA,6,2.5,,30
Sabahmas89ha,3,F2P3,31/07/2017,230,Barringtonia lanceolata,49,NA,6,11.7,,30
Sabahmas89ha,3,F2P3,31/07/2017,230,Barringtonia lanceolata,49,NA,6,2.1,,30
Sabahmas89ha,3,F2P3,31/07/2017,233,Diospyros,33.1,16,4,4.7,,30
Sabahmas89ha,3,F2P3,31/07/2017,233,Diospyros,33.1,16,4,3.8,,30
Sabahmas89ha,3,F2P3,31/07/2017,233,Diospyros,33.1,16,4,6.3,,30
Sabahmas89ha,3,F2P3,31/07/2017,233,Diospyros,33.1,16,4,3,,30
Sabahmas89ha,3,F2P3,31/07/2017,236,Diospyros,28,NA,2,6.2,,30
Sabahmas89ha,3,F2P3,31/07/2017,236,Diospyros,28,NA,2,2.8,,30
Sabahmas89ha,3,F2P3,31/07/2017,238,Ficus,25,NA,1,2.5,,30
Sabahmas89ha,3,F2P3,31/07/2017,239,Lithocarpus,60,15,1,9.2,,30
Sabahmas89ha,3,F2P3,31/07/2017,240,Ficus,75,NA,11,11,,30
Sabahmas89ha,3,F2P3,31/07/2017,240,Ficus,75,NA,11,4,,30
Sabahmas89ha,3,F2P3,31/07/2017,240,Ficus,75,NA,11,4,,30
Sabahmas89ha,3,F2P3,31/07/2017,240,Ficus,75,NA,11,2,,30
Sabahmas89ha,3,F2P3,31/07/2017,240,Ficus,75,NA,11,2.1,,30
Sabahmas89ha,3,F2P3,31/07/2017,240,Ficus,75,NA,11,4,,30
Sabahmas89ha,3,F2P3,31/07/2017,240,Ficus,75,NA,11,4,,30
